District,Pop-2011,Pop-1991,Pop-1981,Area(km),Capital,Sec,Zone
Achham,257477,198188,185212,1680,Mangalsen,H,Seti
Arghakhanchi,197632,180884,157304,1193,Sandhikharka,H,Lumbini
Baglung,268613,232486,215228,1784,Baglung,H,Dhawalagiri
Baitadi,250898,200716,179136,1519,Baitadi,H,Mahakali
Bajhang,195159,139092,124010,3422,Chainpur,M,Seti
Bajura,134912,92010,74649,2188,Martadi,M,Seti
Banke,491313,285604,205323,2337,Nepalganj,T,Bheri
Bara,687708,415718,318957,1190,Kalaiya,T,Narayani
Bardiya,426576,290313,199044,2025,Gularia,T,Bheri
Bhaktapur,304651,172952,159767,119,Bhaktapur,H,Bagmati
Bhojpur,182459,198784,192689,1507,Bhojpur,H,Kosi
Chitwan,579984,354488,259571,2218,Bharatpur,T,Narayani
Dadeldhura,142094,104647,86853,1538,Dadeldhura,H,Mahakali
Dailekh,261770,187400,166527,1502,Dailekh,H,Bheri
Dang,552583,354413,266393,2955,Ghorahi,T,Rapti
Darchula,133274,101683,90218,2322,Darchula,M,Mahakali
Dhading,336067,278068,243401,1926,Dhadingbesi,H,Bagmati
Dhankuta,163412,146386,129781,891,Dhankuta,H,Kosi
Dhanusa,754777,543672,432569,1180,Janakpur,T,Janakpur
Dolakha,186557,173236,150576,2191,Charikot,M,Janakpur
Doti,211746,167168,153135,2025,Dipayal,H,Seti
Gorkha,271061,252524,231294,3610,Gorkha,H,Gandaki
Gulmi,280160,266331,238113,1149,Tamghas,H,Lumbini
Humla,50858,34383,20303,5655,Simikot,M,Karnali
Ilam,290254,229214,178356,1703,Ilam,H,Mechi
Jajarkot,171304,113958,99312,2230,Jajarkot,H,Bheri
Jhapa,812650,593737,479743,1606,Chandragadhi,T,Mechi
Jumla,108921,75964,68797,2531,Jumla,M,Karnali
Kailali,775709,417891,257905,3235,Dhangadhi,T,Seti
Kalikot,136948,88805,87638,1741,Manma,M,Karnali
Kanchanpur,451248,257906,168971,1610,Mahendranagar,T,Mahakali
Kapilvastu,571936,371778,270045,1738,Taulihawa,T,Lumbini
Kaski,492098,292945,221272,2017,Pokhara,H,Gandaki
Kathmandu,1744240,675341,422237,395,Kathmandu,H,Bagmati
Kavrepalanchowk,381937,324329,307150,1396,Dhulikhet,H,Bagmati
Khotang,206312,215965,212571,1591,Diktel,H,Sagarmatha
Lalitpur,468132,257086,184341,385,Patan,H,Bagmati
Lamjung,167724,153697,152720,1692,Besisahar,H,Gandaki
Mahottari,627580,440146,361054,1002,Jaleswor,T,Janakpur
Makwanpur,420477,314599,243411,2426,Hetauda,H,Narayani
Manang,6538,5363,7021,2246,Chame,M,Gandaki
Morang,965370,674823,534692,1855,Biratnagar,T,Kosi
Mugu,55286,36364,43705,3535,Gamgadhi,M,Karnali
Mustang,13452,14292,12930,3573,Jomosom,M,Dhawalagiri
Myagdi,113641,100552,96904,2297,Beni,H,Dhawalagiri
Nawalpur,643508,436217,308828,2162,Parasi,T,Lumbini
Nuwakot,277471,245260,202976,1121,Bidur,H,Bagmati
Okhaldhunga,147984,139457,137640,1074,Okhaldhunga,H,Sagarmatha
Palpa,261180,236313,214442,1373,Tansen,H,Lumbini
Panchthar,191817,175206,153746,1241,Panchthar,H,Mechi
Parbat,146590,143547,128400,494,Kusma,H,Dhawalagiri
Parsa,601017,372524,284338,1353,Birganj,T,Narayani
Pyuthan,228102,175469,157669,1309,Pyuthan,H,Rapti
Ramechhap,202646,188064,161445,1546,Ramechhap,H,Janakpur
Rasuwa,43300,36744,30241,1544,Dhunche,M,Bagmati
Rautahat,686722,414005,332526,1126,Gaur,T,Narayani
Rolpa,224506,179621,168166,1879,Livang,H,Rapti
Eastern Rukum,208567,155554,132432,2877,Jumlikhalanga,H,Rapti
Rupandehi,880196,522150,379096,1360,Siddharthanagar,T,Lumbini
Salyan,242444,181785,152063,1462,Salyan,H,Rapti
Sankhuwasabha,158742,141903,129414,3480,Khadbari,M,Kosi
Saptari,639284,465668,379055,1363,Rajbiraj,T,Sagarmatha
Sarlahi,769729,492798,398766,1259,Malangwa,T,Janakpur
Sindhuli,296192,223900,183705,2491,Sindhulimadhi,H,Janakpur
Sindhupalchok,287798,261025,232326,2542,Chautara,M,Bagmati
Siraha,637328,460746,375358,1188,Siraha,T,Sagarmatha
Solukhumbu,105886,97200,88245,3312,Salleri,M,Sagarmatha
Sunsari,763487,463481,344594,1257,Phidim,T,Kosi
Surkhet,350804,225768,166196,2451,Birendranagar,H,Bheri
Syangja,289148,293526,271824,1164,Syangja,H,Gandaki
Tanahu,323288,268073,223438,1546,Damauli,H,Gandaki
Taplejung,127461,120053,120780,3646,Taplejung,M,Mechi
terhathum,101577,102870,92454,679,Terhathum,H,Kosi
Udayapur,317532,221256,159805,2063,Gaighat,H,Sagarmatha
